review_key,decision_key,date_key,occurred_at_utc,reviewer_id,review_action,review_lag_minutes,corrected_category,corrected_priority,replacement_action,data_truth_class
92449c55-ca0f-5980-8842-c8ff7725684c,9e43efab-0475-5541-96c4-dde79841379c,20250901,2025-09-01T13:00:00+00:00,reviewer:1,override,240.0,,P2,,synthetic_operational
5aa0c8ab-5675-5bb3-86a5-1f8fc38abcf0,22290104-16a8-5891-b802-24e1b6348e1c,20250902,2025-09-02T14:00:00+00:00,reviewer:2,accept,300.0,,,,synthetic_operational
ee8536e8-6796-5b2c-8b81-a077afa8ef18,669589fa-2b0d-53b9-a5fc-cbf56fd2fa7c,20250904,2025-09-04T16:00:00+00:00,reviewer:4,escalate,420.0,,,,synthetic_operational
29721bf4-8928-5d3b-8656-bf0f4bf1a742,7845d69b-fa3f-5aab-94af-76389b96047f,20250905,2025-09-05T17:00:00+00:00,reviewer:1,escalate,480.0,,,,synthetic_operational
f906fe09-1758-59f1-b42c-de1a294022a6,b725ecf8-4133-59fb-8fe4-ed112306de44,20250907,2025-09-07T19:00:00+00:00,reviewer:3,escalate,600.0,,,,synthetic_operational
3bf5e6f1-ebaa-55a4-b116-4d8c06c74e6f,9118eec9-0a3e-5b1a-8344-cbed808e495d,20250908,2025-09-08T20:00:00+00:00,reviewer:4,accept,660.0,,,,synthetic_operational
1f7b3152-db8a-5dc8-aa3c-ef5ac0c65ea3,56050437-5edc-5150-8589-8a19b47c5091,20250910,2025-09-10T13:00:00+00:00,reviewer:2,override,240.0,waste_litter,,,synthetic_operational
e998c404-3eab-598a-8d57-880485ce9423,c2511f82-cd9b-54d3-b0e3-6e4cae3a4d53,20250911,2025-09-11T14:00:00+00:00,reviewer:3,accept,300.0,,,,synthetic_operational
d20b2c65-5c86-5bd5-9f78-1c069c8a33d8,07d15838-d70e-5ca3-b6ac-534d72716a47,20250913,2025-09-13T16:00:00+00:00,reviewer:1,escalate,420.0,,,,synthetic_operational
ecb7452f-449d-5d50-be6f-42f3f45d8110,264520b4-bbd3-5032-9594-e56cc132eacf,20250914,2025-09-14T17:00:00+00:00,reviewer:2,override,480.0,waste_litter,,,synthetic_operational
7f02fac6-312c-5312-be28-1221de75fade,36b1a276-c98e-5891-b731-98f638aa4d82,20251001,2025-10-01T19:00:00+00:00,reviewer:4,escalate,600.0,,,,synthetic_operational
6e925121-0740-5239-aa48-76c85ac46780,0a0fe53a-4a0b-561e-9d75-4391823766b5,20251002,2025-10-02T20:00:00+00:00,reviewer:1,escalate,660.0,,,,synthetic_operational
1ad877c5-c9fd-5b49-93c2-7b215e3e5371,dd19eb5b-5195-59b0-a445-0e0207df8b36,20251004,2025-10-04T13:00:00+00:00,reviewer:3,accept,240.0,,,,synthetic_operational
c7c9bd78-fdf1-5b94-b466-1462d2f9a00b,eb8c8b1f-77f6-545c-9339-8643db116cca,20251005,2025-10-05T14:00:00+00:00,reviewer:4,escalate,300.0,,,,synthetic_operational
18fcc361-95ee-5c80-bc6e-95161893a1c9,bd58cf64-2938-582f-87a3-80f88d08e141,20251007,2025-10-07T16:00:00+00:00,reviewer:2,accept,420.0,,,,synthetic_operational
