asset_key,source_key,asset_type,description,latitude,longitude,data_truth_class
000a1df9-f695-4d1b-973e-c743dea91385,D1,litter_bin,Stainless Steel Box,-42.8815163911603,147.327561117076,real_public_reference
00446f1b-dc95-4edd-9ee6-7300a278963c,D1,litter_bin,120lt Cage General Waste,-42.8975933698998,147.298021793578,real_public_reference
00539d5b-b07e-4ba4-8206-f5d281f29321,D1,litter_bin,120lt Cage General Waste,-42.9154435610906,147.248739349808,real_public_reference
009e4937-9112-4d60-adb3-028ded0861ae,D1,litter_bin,Stainless Steel Box,-42.8833793215633,147.324764302166,real_public_reference
00cc7e13-76e6-4852-8b22-f66718003f3e,D1,litter_bin,Stainless Steel Box,-42.8670522679017,147.311416932157,real_public_reference
0104d19a-4110-482f-ba5c-0dea556a62ff,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8882939602849,147.336584860236,real_public_reference
0152ee47-a975-4bf0-aeba-15bd15091885,D1,litter_bin,120lt Cage General Waste,-42.8606043259344,147.300663367394,real_public_reference
015cd96f-0c97-42e0-bcbe-1826d0d65980,D1,litter_bin,120lt Doggie Bins,-42.8761431483419,147.330666843338,real_public_reference
017ac620-a6c3-4c7a-b52d-d9e22d231327,D1,litter_bin,Stainless Steel Box,-42.8865528368622,147.333497748337,real_public_reference
01f31161-34ff-4fa2-9dc4-661d3eb644ed,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8593295843466,147.288349875824,real_public_reference
021a97f5-5d06-4491-b527-36418d4bd6a0,D1,litter_bin,Stainless Steel Box,-42.8834245375387,147.324883776614,real_public_reference
0227efa0-0d70-408a-8697-6d6d75a531d1,D1,litter_bin,Stainless Steel/Mod Wood,-42.8834119984031,147.330024086897,real_public_reference
022de736-354c-4a83-a7cf-c38ff4ad0939,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8522560884326,147.317550700819,real_public_reference
024ee0a6-32a1-4a17-ac5e-514a2432df2b,D1,litter_bin,120lt Cage General Waste,-42.8720276367633,147.297026351588,real_public_reference
02970c14-4af6-4c12-a810-4c3918c54bdc,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8931372792082,147.319510941548,real_public_reference
02e6d0b6-1e96-410c-b62d-b4a7c1507710,D1,litter_bin,Stainless Steel Box,-42.895012756335,147.32794150294,real_public_reference
034ffc47-003d-454d-a56a-4b43188f2018,D1,litter_bin,Stainless Steel Box,-42.8777634016115,147.328253591645,real_public_reference
03d32407-532e-4245-8121-0d8cab860e5b,D1,litter_bin,120lt Cage General Waste,-42.921108899833,147.322735153975,real_public_reference
041e3791-cc98-4e31-8b19-cc955d7111bf,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8952184851498,147.293802009458,real_public_reference
04581f23-9f89-4d8c-b392-579f8c79eef6,D1,litter_bin,120lt Doggie Bins,-42.9101204766847,147.337232315667,real_public_reference
0462b695-51a8-46c4-be70-d6ecb7e42170,D1,litter_bin,Stainless Steel Box,-42.8807626347197,147.327790910506,real_public_reference
047693f3-18d5-4598-92d6-076bd765c3fd,D1,litter_bin,Stainless Steel Box,-42.8828986597649,147.328199167312,real_public_reference
048c21b9-9079-4067-8e26-52a81f176539,D1,litter_bin,Dog Refuse Bag Dispenser,-42.8970999553947,147.299471062357,real_public_reference
04ffdbd7-4a7c-44b4-8348-4a0bc0b75999,D1,litter_bin,120lt Cage General Waste,-42.866739913495,147.32461261738,real_public_reference
051e8236-2c05-4f00-966b-a4a28b45977c,D1,litter_bin,25lt Drop Plastic,-42.8961776372306,147.308840481612,real_public_reference
